Coord,Prestadora,P Dashboard
"-9.7496, -37.4359",ADS,"Pressão: 18 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.7494, -37.4361",ADS,"Pressão: 18 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.7492, -37.4384",ADS,"Pressão: 18 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.749, -37.4361",ADS,"Pressão: 18 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.675071, -37.124113",ADS,"Pressão: 26 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.674469, -37.129115",ADS,"Pressão: 15 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.674143, -37.127642
",ADS,"Pressão: 15 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.673791, -37.129727",ADS,"Pressão: 10 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.672557, -37.125007",ADS,"Pressão: 20 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.672370, -37.124475,",ADS,"Pressão: 25 mca
Data de Aferição: 10/12/25
Status: Conforme"
"-9.6695, -35.7574",BRK,"Pressão: 8 mca
Data de Aferição: 07/11/24
Status: Desconforme"
"-9.6667, -35.745",BRK,"Pressão: 2 mca
Data de Aferição: 07/11/24
Status: Desconforme"
"-9.6667, -35.7449",BRK,"Pressão: 2 mca
Data de Aferição: 07/11/24
Status: Desconforme"
"-9.6657, -35.7232",BRK,"Pressão: 15 mca
Data de Aferição: 07/11/24
Status: Conforme"
"-9.6593, -37.0040",ADS,"Pressão: 18 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6592, -37.0036",ADS,"Pressão: 14 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6591, -37.0055",ADS,"Pressão: 21 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6590, -37.0057",ADS,"Pressão: 22 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6590, -37.0035",ADS,"Pressão: 14 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6589, -37.0055",ADS,"Pressão: 20 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6588, -37.0036",ADS,"Pressão: 15 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6587, -37.0050",ADS,"Pressão: 21 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6586, -37.0038",ADS,"Pressão: 20 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6586, -35.7406",BRK,"Pressão: 15 mca
Data de Aferição: 07/11/24
Status: Conforme"
"-9.6585, -37.0048",ADS,"Pressão: 21 mca
Data de Aferição: 28/05/25
Status: Conforme"
"-9.6511, -37.3637",ADS,"Pressão: 25 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.6511, -37.363",ADS,"Pressão: 17 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.6508, -37.3632",ADS,"Pressão: 17 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.6508, -37.363",ADS,"Pressão: 22 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.6505, -35.7429",BRK,"Pressão: 12 mca
Data de Aferição: 07/11/24
Status: Conforme"
"-9.6467, -37.363",ADS,"Pressão: 29 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.6467, -37.3613",ADS,"Pressão: 30 mca
Data de Aferição: 11/12/24
Status: Conforme"
"-9.646091, -36.486757",VAA,"Pressão: 20 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.644578, -36496263",VAA,"Pressão: 19 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.644557, -36.494888",VAA,"Pressão: 26 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.644499, -36.498890",VAA,"Pressão: 19 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.644203, -36.496821",VAA,"Pressão: 26 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.644199, -36.496898",VAA,"Pressão: 30 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.643409, -36.491398",VAA,"Pressão: 12 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.6416, -35.7329",BRK,"Pressão: 16 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6408, -35.7330",BRK,"Pressão: 15 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6394, -35.7333",BRK,"Pressão: 14 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6392, -35.8020",BRK,"Pressão: 6 mca
Data de Aferição: 25/02/25
Status: Desconforme"
"-9.6384, -35.7999",BRK,"Pressão: 22 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6383, -35.8004",BRK,"Pressão: 17 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6382, -35.7328",BRK,"Pressão: 10 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6382, -35.7323",BRK,"Pressão: 10 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.638068, -37.208895",CASAL,"Pressão: 24 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.637681, -37.208836",CASAL,"Pressão: 26 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.6375, -35.7986",BRK,"Pressão: 5 mca
Data de Aferição: 25/02/25
Status: Desconforme"
"-9.637376, -37.208554",CASAL,"Pressão: 29 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.637202, -37.207574",CASAL,"Pressão: 14 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.63706, -37.207477",CASAL,"Pressão: 15 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.6368, -35.7950",BRK,"Pressão: 27 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6368, -35.7299",BRK,"Pressão: 3 mca
Data de Aferição: 03/04/25
Status: Desconforme"
"-9.6367, -35.7154",BRK,"Pressão: 4 mca
Data de Aferição: 07/11/24
Status: Desconforme"
"-9.636505, -37.205906",CASAL,"Pressão: 21 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.6365, -35.7342",BRK,"Pressão: 11 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6363, -35.7309",BRK,"Pressão: 2 mca
Data de Aferição: 03/04/25
Status: Desconforme"
"-9.6357, -35.7937",BRK,"Pressão: 14 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6353, -35.7999",BRK,"Pressão: 37 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6340, -36.5837",CASAL,"Pressão: 5 mca
Data de Aferição: 26/06/25
Status: Desconforme"
"-9.6339, -36.5807",CASAL,"Pressão: 1 mca
Data de Aferição: 26/06/25
Status: Desconforme"
"-9.6335, -35.7925",BRK,"Pressão: 12 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.633226, -37.205856",CASAL,"Pressão: 13 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.6329, -35.7944",BRK,"Pressão: 1 mca
Data de Aferição: 25/02/25
Status: Desconforme"
"-9.63279, -37.205558",CASAL,"Pressão: 11 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.632569, -37.206594",CASAL,"Pressão: 26 mca
Data de Aferição: 31/10/24
Status: Conforme"
"-9.6317, -35.7938",BRK,"Pressão: 18 mca
Data de Aferição: 25/02/25
Status: Conforme"
"-9.6251, -37.7557",ADS,"Pressão: 65 mca
Data de Aferição: 22/04/25
Status: Desconforme"
"-9.6249, -37.7540",ADS,"Pressão: 57 mca
Data de Aferição: 22/04/25
Status: Desconforme"
