Município,Processo,Prestadora,NC,Descrição,Status,Categoria
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 01,Reparos na parede desplacamento do reboco,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 01,Ausência de identificação da captação,Sanado,Ausência de Identificação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 02,Corrosão das armaduras,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 03,Ponto de vazamento na parede do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 04,Ponto de vazamento na saída da adutora,Sanado,Hidráulico
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 05,Excesso de entulhos no perímetro da adutora,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 06,Infiltração no piso da estação elevatória,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 07,Ausência da bomba reserva,Sanado,Outros
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 08,Ausência da escada do reservatório apoiado,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 09,Ausência de identificação da estação elevatória água tratada 05,Sanado,Ausência de Identificação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 10,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 11,Ponto de vazamento no reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 12,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 13,Excesso de vegetação na área,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 14,Ponto de vazamento no reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 15,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 16,Ausência de identificação do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 17,Excesso de vegetação na área,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 18,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 19,Ausência de identificação do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 20,Ausência de cerca ou muro no perímetro,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 06,Ausência de guarda corpo no RAP,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 05,Execesso de vegetação,Pendente,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 04,Escadas de acesso aos reservatórios em condições inadequada,Pendente,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 03,Ausência de guarda corpo no RAP 2,Pendente,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 02,Necessitando de pintura,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 63,Tampa de proteção da laje de cobertura oxidada do Reservatório 02 Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 34,Ausência do macromedidor na saída do reservatório,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 17,Patologia estrutural no Reservatório Semienterrados 02,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 18,Ausência de identificação dos Reservatórios Elevados Newton Pereira,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 19,"Tampas das caixas de manobra dos Reservatórios Elevados Newton Pereira com oxidação, sem estarem chumbadas e sem o cadeado de segurança",Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 99,Cerca de proteção da (ETE) Rocha Cavalcante danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 98,Ausência do portão de acesso da (ETE) Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 97,Ausência de identificação da (ETE) Rocha Cavalcante,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 96,Excesso de vegetação no perímetro da (ETE) União,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 95,Ausência do gerador de energia na (EEE) Sagrada Família,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 94,Ausência do extintor de incêndio na (EEE) Sagrada Família,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 93,Tampa danificada do poço de sucção da (EEE) Sagrada Família,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 92,Cerca de proteção da (EEE) Sagrada Família danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 91,Portão de acesso a (EEE) Sagrada Família oxidado e sem cadeado,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 90,Excesso de vegetação no perímetro da (EEE) Sagrada Família,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 89,Ausência de identificação da (EEE) Sagrada Família,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 88,Ausência do gerador de energia na (EEE) Newton Pereira,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 87,Tampa danificada do poço de sucção da (EEE) Newton Pereira,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 86,Cerca de proteção da (EEE) Newton Pereira danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 85,Excesso de vegetação no perímetro da (EEE) Newton Pereira,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 84,Fixação da placa de identificação da (EEE) Newton Pereira em local inadequado,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 83,Ausência do gerador de energia na (EEE) Nova Esperança,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 82,Excesso de vegetação no perímetro da (EEE) Nova Esperança,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 81,Ausência da tampa do poço de sucção da (EEE) Nova Esperança,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 80,Lançamento a céu aberto e sem tratamento de parte do esgoto do Conjunto Santa Maria,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 79,Ausência do gerador de energia na (EEE) Santa Maria,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 78,Excesso de vegetação no perímetro da (EEE) Santa Maria,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 77,Ausência de identificação na (EEE) Santa Maria,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 76,Ausência do gerador de energia na (EEE) Roberto Correia,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 75,Ausência do extintor de incêndio na (EEE) Roberto Correia,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 74,Tampa do poço de sucção da (EEE) não está fixada na laje,Auto de Infração,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 73,Excesso de vegetação no perímetro da (EEE) Roberto Correia,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 72,Conservação do portão de acesso da Elevatória de Esgoto Roberto Correia,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 71,Ausência do macromedidor na saída do reservatório Timbó,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 70,Excesso de vegetação no perímetro da (ETA) e Reservatório Timbó,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 69,Patologias estruturais no Reservatório da (ETA) Timbó,Auto de Infração,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 68,Ausência de identificação do reservatório da (ETA) Timbó,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 67,Ausência de identificação da (ETA) Timbó,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 66,"Portão de acesso a Captação, (ETA) e Reservatório Timbó oxidado e com a ausência de dispositivo de proteção",Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 65,"Ausência de boia ou medidor de nível nos reservatórios 1, 2 e 3",Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 64,"Ausência do macromedidor na saída dos reservatórios 1, 2 e 3 Rocha Cavalcante",Auto de Infração,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 22,Guarda-corpo na laje de cobertura dos Reservatórios Elevados Newton Pereira 1 e 3 danificados,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 62,Patologias estrutural no Reservatório 02 Rocha Cavalcante,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 61,Ausência de guarda-corpo na escada externa do reservatórios 1 e ausência de escada externa nos reservatórios 2 e 3 Rocha Cavalcante,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 60,"Ausência de guarda-corpo na laje de cobertura dos reservatórios 1, 2 e 3 Rocha Cavalcante",Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 59,"Ausência de cerca no perímetro dos reservatórios 1, 2 e 3 Rocha Cavalcante",Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 58,"Excesso de vegetação na área dos reservatórios 1, 2 e 3 Rocha Cavalcante",Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 57,"Ausência de identificação nos reservatórios 1, 2 e 3 Rocha Cavalcante",Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 56,Ausência do extintor de incêndio na (EEAT) Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 55,Perímetro da (EEAT) Rocha Cavalcante com materiais da reforma da (ETA),Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 54,Ausência de identificação na (EEAT) Rocha Cavalcante,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 53,Ausência de boia ou medidor de nível no reservatório apoiado da ETA Rocha Cavalcante,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 52,Ausência do macromedidor na saída do reservatório apoiado da (ETA) Rocha Cavalcante,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 51,Ausência da tampa da laje do reservatório apoiado da Rocha Cavalcante,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 50,Escada não engastada no reservatório apoiado da Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 49,Ausência de guarda-corpo na laje superior do reservatório da (ETA) Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 48,Ausência de guarda-corpo nos filtros da (ETA) Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 47,Ausência de identificação no perímetro da (ETA) Rocha Cavalcante,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 46,Ausência de identificação no perímetro da Captação Rocha Cavalcante,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 45,Ausência da tampa do poço de sução da (EEAT) Taquari,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 44,Ausência do extintor de incêndio na (EEAT) Taquari,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 43,Ausência do portão de acesso a (EEAT) Taquari,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 42,Ausência de identificação no perímetro da (EEAT) Taquari,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 41,Excesso de vegetação no perímetro da (EEAT) Taquari,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 40,Tampa de proteção da laje de cobertura oxidada do poço de sução da (EEAT) Frios,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 39,Excesso de vegetação no perímetro da (EEAT) Frios,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 38,Ausência do extintor de incêndio na (EEAT) Frios,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 37,Ausência de identificação na (EEAT) Frios,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 20,Excesso de vegetação no perímetro dos Reservatórios Elevados Newton Pereira,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 35,Ausência do extintor de incêndio na (EEAT) COHAB,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 21,Ausência de cerca ou muro de proteção no perímetro dos Reservatórios Elevados Newton Pereira,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 33,Excesso de vegetação no perímetro dos Reservatórios Enterrados COHAB 1 e 2,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 15,Ausência do medidor de nível e boia no Reservatório Semienterrados 02,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 14,Oxidação da tampa do Reservatório Semienterrados 02,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 13,Ausência de identificação do reservatório semienterrados 02,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 12,Ausência do macromedidor na saída do reservatório 01,Auto de Infração,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 11,Ausência do medidor de nível e boia no reservatório 01,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 10,Ausência da tampa na laje do reservatório 01,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 32,Ausência de identificação no reservatório,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 31,Ausência do macromedidor na saída do reservatório,Auto de Infração,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 09,Ausência de identificação do reservatório,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 08,Ausência do guarda-corpo na laje dos filtros descendentes,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 07,Patologias estruturais nos filtros ascendentes e decantador,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 06,Tampa oxidada do reservatório de contato,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 05,Vazamento de água na gaxeta da moto-bomba centrifuga,Auto de Infração,Hidráulico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 04,Guarda-corpo na escada externa da EEAT danificado,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 03,Ausência de identificação,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 02,Ausência de guarda-corpo na escada da célula de captação de água bruta,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 01,"Patologia estrutural na célula de captação de água bruta, corrosão nos degraus da escada da célula de captação e engaste da escada de acesso ao leito do Rio Mundaú",Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 23,Escada externa dos Reservatórios Elevados Newton Pereira oxidada,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 24,Patologia estrutural no Reservatórios Elevados Newton Pereira 01,Auto de Infração,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 25,Ausência do macromedidor na saída do reservatório nos Reservatórios Elevados Newton Pereira,Auto de Infração,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 26,Ausência de identificação dos Reservatórios Elevados Nova Esperança,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 27,Ausência de cerca no perímetro do reservatório,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 28,Oxidação do guarda-corpo e escada externa de acesso a laje de cobertura,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 29,Ausência da tampa de proteção da caixa de passagem e alvenaria,Auto de Infração,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 30,Ausência do medidor de nível e boia,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 36,Portão de acesso a (EEAT) Frios danificado,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 16,Ausência do macromedidor na saída do reservatório Semienterrados 02,Auto de Infração,Medição e Aferição
TRAIPU,E:49070.0000000723/2024,ADS,NC 01,Necessidade de Identificação,Sanado,Ausência de Identificação
TRAIPU,E:49070.0000000723/2024,ADS,NC 02,Necessidade de limpeza,Sanado,Limpeza e Conservação
TRAIPU,E:49070.0000000723/2024,ADS,NC 03,Patologias estruturais,Sanado,Outros
TRAIPU,E:49070.0000000723/2024,ADS,NC 04,Necessidade de cerca de proteção,Sanado,Segurança
TRAIPU,E:49070.0000000726/2024,CASAL,NC 01,Ausência de identificação da Captação do Sistema de Abastecimento,Sanado,Ausência de Identificação
TRAIPU,E:49070.0000000726/2024,CASAL,NC 02,Necessidade de limpeza do pátio externo da ETA,Sanado,Limpeza e Conservação
TRAIPU,E:49070.0000000726/2024,CASAL,NC 03,Patologias estruturais da ancoragem,Sanado,Outros
TRAIPU,E:49070.0000000726/2024,CASAL,NC 04,Necessidade de limpeza e retirada de formigueiros no local,Sanado,Limpeza e Conservação
TRAIPU,E:49070.0000000726/2024,CASAL,NC 05,Depósito de sal encontra-se de forma incorreta,Sanado,Outros
TAQUARANA,E:49070.0000001833/2024,VAA,NC 02,Excesso de vegetação,Sanado,Limpeza e Conservação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 01,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 03,Anomalias estruturais no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 32,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000001833/2024,VAA,NC 31,Fissuras no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 30,Infiltrações no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 29,Anomalias estruturais no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 28,Ausência de limpeza e desinfecção do reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 27,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 26,Fissuras no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 25,Ausência de Dispositivo de Controle de Acesso,Sanado,Segurança
TAQUARANA,E:49070.0000001833/2024,VAA,NC 24,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000001833/2024,VAA,NC 23,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 22,Ausência de Cerca de Proteção,Sanado,Segurança
TAQUARANA,E:49070.0000001833/2024,VAA,NC 21,Ausência de limpeza e desinfecção do reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 20,Excesso de vegetação,Sanado,Limpeza e Conservação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 19,Ausência de dispositivo de controle de acesso,Sanado,Segurança
TAQUARANA,E:49070.0000001833/2024,VAA,NC 18,Acúmulo de lixo no local,Sanado,Outros
TAQUARANA,E:49070.0000001833/2024,VAA,NC 17,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000001833/2024,VAA,NC 16,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 15,Ausência de limpeza e desinfecção do reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 14,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 01,Ausência de identificação,Repasse,Ausência de Identificação
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 02,Excesso de vegetação na entrada,Repasse,Limpeza e Conservação
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 03,Vazamento na Gaxeta,Repasse,Hidráulico
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 04,A Captação não dispõe de dispositivo de macromedição,Justificado,Outros
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 05,Acesso à captação inadequado,Repasse,Segurança
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 06,Ausência de Identificação,Repasse,Ausência de Identificação
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 07,Ausência de Tampa nos filtros,Repasse,Outros
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 08,Patologias estruturais no tanque de contato,Pendente,Outros
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 09,Anomalias Estruturais nos Filtros,Pendente,Outros
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 01,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 02,Excesso de vegetação aquática no manancial,Sanado,Limpeza e Conservação
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 03,Vazamento na Gaxeta,Sanado,Hidráulico
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 04,A Captação não dispõe de dispositivo de macromedição,Sanado,Outros
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 05,Acesso à captação inadequado,Sanado,Segurança
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 06,Ausência de Identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 07,Ausência de Tampa nos filtros,Sanado,Outros
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 08,Anomalias Estruturais nos Filtros,Sanado,Outros
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 09,Ausência de medidor de nível dos filtros,Sanado,Medição e Aferição
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 10,Ausência de macromedidor,Sanado,Medição e Aferição
TAQUARANA,E:49070.0000001833/2024,VAA,NC 13,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 12,Fissuras no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 11,Oxidação nas tampas,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 10,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000001833/2024,VAA,NC 09,Infiltrações no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 08,Anomalias estruturais no Reservatório,Sanado,Estrutural
TAQUARANA,E:49070.0000001833/2024,VAA,NC 07,Excesso de vegetação,Sanado,Limpeza e Conservação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 06,Ausência de identificação,Sanado,Ausência de Identificação
TAQUARANA,E:49070.0000001833/2024,VAA,NC 05,Ausência de Macro medidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 11,Ausência de dispositivo de cloração,Sanado,Estrutural
TAQUARANA,E:49070.0000001832/2024,CASAL,NC 12,Material armazenado incorretamente,Sanado,Outros
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 10,Ausência de medidor de nível nos reservatórios,Repasse,Medição e Aferição
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 11,Ausência de macromedidor,Justificado,Medição e Aferição
TAQUARANA,E:49070.0000002374/2025,CASAL,NC 12,Material armazenado incorretamente,Repasse,Outros
TAQUARANA,E:49070.0000001833/2024,VAA,NC 04,Infiltrações no Reservatório,Sanado,Estrutural
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 06,Ausência de identificação do poço,Sanado,Ausência de Identificação
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 44,Ausência de identificação do reservatório,Auto de Infração,Estrutural
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 04,Adequação das instalações elétricas no quadro de energia,Sanado,Elétrico
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 08,Ausência de macromedidor,Auto de Infração,Medição e Aferição
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 09,Adequação das instalações elétricas no quadro de energia,Sanado,Elétrico
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 10,Não existe laje de proteção ao redor do poço,Auto de Infração,Segurança
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 11,Ausência de macromedidor,Auto de Infração,Medição e Aferição
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 12,"Ausência de dispositivo de controle de acesso ao quadro de comando, (Portão com cadeado)",Pendente,Segurança
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 13,Ausência de identificação do poço,Sanado,Ausência de Identificação
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 14,Ausência de cerca ou muro no perímetro,Auto de Infração,Estrutural
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 15,Ausência de macromedidor,Pendente,Medição e Aferição
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 16,Adequação das instalações elétricas no quadro de energia,Sanado,Elétrico
TANQUE D'ARCA,E:49070.0000005092/2023,VAA,NC 17,Não existe laje de proteção ao redor do poço,Auto de Infração,Segurança
