Município,Processo,Prestadora,NC,Descrição,Status,Categoria
PILAR,E:49070.0000005030/2023,CASAL,NC 12,Ausência de identificação do poço,Sanado,Ausência de Identificação
PILAR,E:49070.0000005030/2023,CASAL,NC 13,Ausência de cerca ou muro no perímetro,Auto de Infração,Estrutural
PILAR,E:49070.0000005030/2023,CASAL,NC 14,Ausência do dispositivo de Cloração d’água,Auto de Infração,Estrutural
PILAR,E:49070.0000005030/2023,CASAL,NC 15,Ausência da laje de proteção,Auto de Infração,Segurança
PILAR,E:49070.0000005030/2023,CASAL,NC 76,Ausência do dispositivo de cloração,Auto de Infração,Estrutural
PIAÇABUÇU,E:49070.0000005528/2023,ADS,NC 04,Ausência de guarda corpo na escada externa,Auto de Infração,Segurança
PIAÇABUÇU,E:49070.0000005528/2023,ADS,NC 03,Patologias estruturais do reservatório,Auto de Infração,Estrutural
PIAÇABUÇU,E:49070.0000005528/2023,ADS,NC 02,Ausência de Macro medidor,Sanado,Medição e Aferição
PIAÇABUÇU,E:49070.0000005528/2023,ADS,NC 01,Ausência de guarda corpo na Laje de Coberta,Auto de Infração,Segurança
PIAÇABUÇU,E:49070.0000005523/2023,CASAL,NC 04,Extintor com prazo vencido (01/2023),Auto de Infração,Segurança
PIAÇABUÇU,E:49070.0000005523/2023,CASAL,NC 03,Ausência de Macro medidor do Reservatório,Sanado,Medição e Aferição
PIAÇABUÇU,E:49070.0000005523/2023,CASAL,NC 02,Ausência de Guarda-Corpo na Laje de Coberta do reservatório,Auto de Infração,Segurança
PIAÇABUÇU,E:49070.0000005523/2023,CASAL,NC 01,Ausência de Guarda-Corpo na Laje de Coberta dos filtros,Justificado,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 98,Anomalias na estrutura do reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 43,Ausência de porta de acesso ao poço,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 13,Anomalias na estrutura dos reservatórios,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 15,Ausência de guarda-corpo na laje de coberta dos reservatórios,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 07,Fiação elétrica exposta no perímetro da ETA,Repasse,Elétrico
PENEDO,E:49070.0000002946/2025,ADS,NC 05,Acúmulo de lodo nos decantadores e floculadores,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 19,Ausência de pastilhas de cloro no dispositvo,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 124,Vazamento nas tubulações,Repasse,Hidráulico
PENEDO,E:49070.0000002946/2025,ADS,NC 123,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 122,Cercamento danificado,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 121,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 120,Ausência de guarda-corpo na laje de coberta,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 119,Ausência de guarda-corpo na escada de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 118,Anomalias na estrutura do reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 117,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 116,Ausência de macromedidor na saída da EEAB,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 115,Acesso à captação comprometido,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 114,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 113,Ausência de macromedidor na saída dos reservatórios,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 112,Ausência de medidor de nível e controlador por boia,Repasse,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 111,Excesso de vegetação no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 110,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 109,Ausência de medidor de nível e controle por boia,Repasse,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 108,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 107,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 106,Vazamento na tubulação do reservatório,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 105,Cercamento danificado,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 104,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 103,Ausência de dispositivo de controle de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 102,Ausência de dispositivo de cloração,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 101,Ausência de portão de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 100,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 96,Portão de acesso danificado,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 95,Acesso danificado,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 94,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 93,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 92,Ausência de ancoragem nos reservatórios,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 91,Ausência de limpeza e capinação,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 90,Cercamento danificado,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 89,Ausência de portão de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 88,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 87,Ausência de Identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 86,Ausência de limpeza e capinação no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 85,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 84,Ausência de guarda-corpo na escada de acesso,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 83,Ausência de guarda-corpo na laje de coberta,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 82,Anomalias na estrutura do resevatório,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 81,Ausência de macromedidor,Repasse,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 80,Presença de animais no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 79,Ausência de limpeza e capinação,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 78,Portão de acesso danificado,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 77,Ausência de identificação,Repasse,Ausência de Identificação
